utterance_id,audio_path,sentence,ethnicity,gender,age,first_language,dataset,accent,speaker_id
cv_common_voice_en_18564615,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18564615.mp3,I have something to say to you.,,,,,commonvoice,,7633e88d8d94bc5abe8814aec0a3388da1ca9d3355c359259eaa42413bd56892583a8343a89ea0e4bc6827214421325a8b9761c17b4a4b93f430669d4e081e13
fs_bd880fa3e1228b794c92acb59c86d2e6,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/bd880fa3e1228b794c92acb59c86d2e6.wav,hello fam i miss you so much and i can't wait to be with you once more,Black/AA,male,31 - 45,English,fairspeech,,
fs_9cbd1e20cfce60da51620c609acf0f3a,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/9cbd1e20cfce60da51620c609acf0f3a.wav,hey facebook open whatsapp read annie's message,White,female,46 - 65,English,fairspeech,,
fs_8b29b64e00a5f3d02ad290d979af16fd,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/8b29b64e00a5f3d02ad290d979af16fd.wav,reply with message yeah we should plan a trip again,Native American,female,18 - 22,English,fairspeech,,
cv_common_voice_en_18550437,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18550437.mp3,Something told me he was a dancer.,,male_masculine,twenties,,commonvoice,,4f44187fe58302b3483ddcb50f68f8cef7a0d73489c527407a566b8ab367458399738803aabdbb3ac6a51c09986482ee394b0b81ee0442e6cc8be948d9c4d94e
fs_2ace4e78a283b621e0b7fc72f2cfaa2d,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/2ace4e78a283b621e0b7fc72f2cfaa2d.wav,hey facebook play the song previous,Hispanic,female,31 - 45,English,fairspeech,,
fs_07b4398c541a091e061f75ce4c18abda,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/07b4398c541a091e061f75ce4c18abda.wav,hey facebook answer tommy call on whatsapp right now,Black/AA,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18349917,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18349917.mp3,I'm going to bath the baby after tea,,male_masculine,twenties,,commonvoice,indian,bcd5dc5cdbe3b3832404454bf30cf162320596a88e2ae9fc5ae2a6a9b77f06729b9935bb7229c47c1de1516a304e9131b8f45f41dac4e55da5fe587c48c591c7
fs_bb8cf6c37d0125350c31142d4dcbc501,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/bb8cf6c37d0125350c31142d4dcbc501.wav,hey facebook share this video with my close friends on my instagram story,Asian,male,18 - 22,English,fairspeech,,
cv_common_voice_en_18648719,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18648719.mp3,I was convinced that something terrible had happened.,,male_masculine,twenties,,commonvoice,us,a29d163c4a553fc9d31a8b498e70cee4f8c469d5e13b170a7747f7fc9678e0441fb9033fe69004eaf3ca9aa89f4defb6433e72cd1bc87eea28f7e3e45d938ab4
cv_common_voice_en_18480186,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18480186.mp3,"Kate, Sophie and Liz have all decided to train as psychiatrists.",,male_masculine,fourties,,commonvoice,,cdd10f681f8a0c4d0d9a74010cc24a5135eb6ef7efd43aa599f892360e3f08d74ee17703365b289857068b7dc1991adcc374efbfbb0d9ee1979c7470447b5392
fs_28e3b463060551bc1a75b93cf949c767,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/28e3b463060551bc1a75b93cf949c767.wav,hey facebook can you add this song to a new playlist,Native American,female,31 - 45,English,fairspeech,,
fs_ffc59bad4c01d5cf2181c6480e31817d,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/ffc59bad4c01d5cf2181c6480e31817d.wav,save this song,Black/AA,male,31 - 45,English,fairspeech,,
fs_d5aabd38fb45412921dcbac47360dca2,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/d5aabd38fb45412921dcbac47360dca2.wav,hey facebook delete video,White,female,46 - 65,English,fairspeech,,
cv_common_voice_en_18332300,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18332300.mp3,I can see my house from here!,,,,,commonvoice,,e3318fea71a7c5a8453be8a47f7258b5da6a385b42f438c770e039c01a9ce4f5329063ea00d1bd98b6ba9605fc138ae5a99f180286c25a61ff7f4e009f99b95d
