layer,head,id,reference,hypothesis
15,0,common_voice_en_17289296,"The landing was dimly light by a single, bare, low-power light-bulb.",The landing was dimly light but a single bare low-power light bulb
15,0,common_voice_en_18062241,Fresh as a daisy.,fresh as a daisy
15,0,common_voice_en_18208927,Check the main features on the website.,Check the main features on the website.
15,0,common_voice_en_19045427,"Upon his father's death, he inherited his arms.","Upon his father's death, he inherited his arms."
15,0,common_voice_en_19650760,"In contrast to hydromorphone, it is described as inactive.","In contrast to hydromorphone, it is described as inactive."
15,0,common_voice_en_19729843,Paulding is largely a bedroom community.,Paulding is largely a bedroom community.
15,0,common_voice_en_20264169,He eventually led Pitt to five consecutive bowl games.,He eventually led Pitt to five consecutive bowl games.
15,0,common_voice_en_20556516,"Stephen the First, the first king of Hungary, founded an episcopate there.","Stephen I, the first king of Hungary founded an episcopate there."
15,0,common_voice_en_20556517,Dunbar takes action but also takes a bullet leaving him blind.,Dunbar takes action but also takes a bullet leaving him blind.
15,0,common_voice_en_20685731,He can do a lot of things.,He can do a lot of things.
15,0,common_voice_en_21522616,"Internally it provided five registers plus the program counter, but no stack pointer.",internally it provided five registers plus the program contact but no stack pointer
15,0,common_voice_en_22339444,They attacked in massed formations and died by the hundreds.,They attacked in massed formation and died by the hundreds.
15,0,common_voice_en_24017916,"This entails a ""training in the art of prayer"".",This entails a training in the art of prayer.
15,0,common_voice_en_26945559,The path he has chosen for us is the right one!,The path he has chosen for us is the right one.
15,0,common_voice_en_31692279,Leading to the conclusion that the dikes must have originated from separate magma chambers.,Leading to the conclusion that the dikes must have originated from separate magma chambers.
15,0,common_voice_en_31693746,Rafiqul was involved in the politics of Chhatra League in his student life.,Raufiqul was involved in the politics of Chhatra League in his student life.
15,0,common_voice_en_34954466,"The corner stone was laid by Sir Mortimer Clarke, Lieutenant Governor of Ontario.","The car was shown on the late Wednesday in Montemar, Canada, left in an economy of Ontario."
15,0,common_voice_en_35066412,Thus a graph must be sparse enough to justify an adjacency list representation.,Thus a graph must be sparse enough to justify an adjacency list representation.
15,0,common_voice_en_36641653,They had no recognised uniform and wore practical clothing as the season required.,They had no recognized uniform and wore practical clothing as the season required.
15,0,common_voice_en_36823641,There are six stamens.,There are six stamens.
15,0,common_voice_en_36863845,"However, its location and other information is yet to be announced.","However, its location and other information is yet to be announced."
15,0,common_voice_en_36863846,The hotel is located right opposite Galle Face Green facing the Indian Ocean.,The hotel is located right opposite Galle Face Green facing the Indian Ocean.
15,0,common_voice_en_37021989,Botswana sent two boxers to Athens.,Botswana sent a boxer to Adams.
15,0,common_voice_en_37121837,Machan argued against animal rights in his widely reprinted paper Do Animals Have Rights?,Macken argue against animal rights in his widely reprinted paper do animals have rights
15,0,common_voice_en_37329538,"Subsequently, an anterior approach was introduced.",Subsequently an anterior approach was introduced.
15,0,common_voice_en_37330923,It was in this area that numerous families of African-American descent settled.,It was in this area that numerous families of African American descent settled.
15,0,common_voice_en_37556227,Most Egyptian gods were at some time identified with the sun.,Most Egyptian Gods were at some time identified with this one.
15,0,common_voice_en_37570169,The mother goes to the ash-heap behind the hut.,The mother goes to the ash heap behind the hut.
15,0,common_voice_en_37627010,The next generation of British zoologists contained both Charles Darwin and Alfred Russel Wallace.,The next generation of British zoologists contained both Charles Darwin and Alfred Russell Wallace.
