beam,rep_penalty,no_repeat_ngram,temp_fallback,id,reference,hypothesis
1,1.0,0,False,common_voice_en_1075,A scientist in a lab coat is using a microscope.,A scientist in a lab coat is using a microscope.
1,1.0,0,False,common_voice_en_1272597,"A group of people, one of them with a guitar, were sitting by the campfire and singing songs.","A group of people, one of them with a guitar, were sitting by the campfire and singing songs."
1,1.0,0,False,common_voice_en_1282108,The medical examiner reported that the cause of death was a homicide.,The medical examiner reported that the cause of death was a homicide.
1,1.0,0,False,common_voice_en_1282109,Wait a minute!,wait a minute
1,1.0,0,False,common_voice_en_1416457,Valgrind detected multiple memory leaks.,Vulcan detected multiple memory leaks
1,1.0,0,False,common_voice_en_1416459,She lost her sight in a childhood accident.,She lost her sight in a jailed accident.
1,1.0,0,False,common_voice_en_1564420,Presumably Ryan never did any sanity checks.,"Presumably, Ryan never did any sanity checks."
1,1.0,0,False,common_voice_en_16030401,Boris the lion cried like a donkey.,Boris the Lion cried like a donkey.
1,1.0,0,False,common_voice_en_16665997,Curly brackets are hard to type.,Curly brackets are hard to type.
1,1.0,0,False,common_voice_en_17249216,"To understand recursion, one must first learn about recursion.","To understand recursion, one must first learn about recursion."
1,1.0,0,False,common_voice_en_17249769,"No, we don't laminate our business cards.","No, we don't laminate our business cards"
1,1.0,0,False,common_voice_en_17250887,"Look, the seam is now broken, it couldn't stand the jerk.","Look the seam is now broken, it couldn't stand the jerk."
1,1.0,0,False,common_voice_en_17250888,"I wanted the doll, but the auction became too expensive.",I wanted the doll but the auction became too expensive
1,1.0,0,False,common_voice_en_17259866,"The door was barred, locked, and bolted as well.","The dough was bored, locked and bolted as well."
1,1.0,0,False,common_voice_en_17268506,What are the facts?,What are the facts?
1,1.0,0,False,common_voice_en_17272411,"Somehow, the purple colour faded to gray.",Somehow the purple color faded to gray.
1,1.0,0,False,common_voice_en_17281451,"Grow angry slowly, there's plenty of time.",Go angry slowly. There is plenty of time.
1,1.0,0,False,common_voice_en_17281452,I'm not really sure what's involved in that.,I am not really sure what is involved in that.
1,1.0,0,False,common_voice_en_17285500,How about Egypt?,How about Egypt?
1,1.0,0,False,common_voice_en_17285501,"Fine, I agree this could be the case.","Fine, I agree this could be the case."
1,1.0,0,False,common_voice_en_17285876,Do you speak German?,Do you speak German?
1,1.0,0,False,common_voice_en_17285889,I suspect this may be someone new making themselves known.,I suspect this may be someone new making themselves known.
1,1.0,0,False,common_voice_en_17288801,Was it a good idea?,Was it a good idea?
1,1.0,0,False,common_voice_en_17289281,What on earth are you rambling about?,What on earth are you rambling about?
1,1.0,0,False,common_voice_en_17289296,"The landing was dimly light by a single, bare, low-power light-bulb.",The landing was dimly light but a single bare low-power light bulb.
1,1.0,0,False,common_voice_en_17291039,"The grim reaper is waiting for you, reckless driver!","The Grim Reaper is waiting for you, reckless driver."
1,1.0,0,False,common_voice_en_17297426,"In another year, maybe I can help.","In another year, maybe I can help."
1,1.0,0,False,common_voice_en_17298946,What else could it be?,What else could it be?
1,1.0,0,False,common_voice_en_17394275,"One short, solitary clown entered the ring honking an oversize horn while waving forlornly to the audience.","One short, solitary clown entered the ring honking an oversized horn while waving forlornly to the audience."
1,1.0,0,False,common_voice_en_17402622,Why do people even eat peanut butter and jelly?,why do people even eat peanut butter and jelly
1,1.0,0,False,common_voice_en_17417536,"Without haste, yet without rest unhasting, yet unresting.","Without haste yet without rest, on hasting you turn resting."
1,1.0,0,False,common_voice_en_17447763,"I could easily be wrong, so that's just a guess.",I could easily be wrong so that's just a guess
1,1.0,0,False,common_voice_en_17457254,Did anyone else share this lab at the time?,Did anyone else share this app at the time?
1,1.0,0,False,common_voice_en_17457255,"First she was moaning, then coughing and eventually her ventilation collapsed.","First she was moaning, then coughing and eventually her ventilation collapsed."
1,1.0,0,False,common_voice_en_17477644,"Your gran's been nicking stuff from the corner shop again, mate.","Your gran's been nicking stuff from the corner shop again, mate."
1,1.0,0,False,common_voice_en_17487671,Can you do your babysitting from outside my office?,Can you do your babysitting from outside my office?
1,1.0,0,False,common_voice_en_17562717,But what could he do?,But what could he do?
1,1.0,0,False,common_voice_en_17567680,Have you met Catherine?,Have you met Catherine?
1,1.0,0,False,common_voice_en_17661177,"Perhaps, you should just grow sea monkeys.","Perhaps you should just go and see your aunt, please."
1,1.0,0,False,common_voice_en_17680362,"What is it, then?",What is it then?
1,1.0,0,False,common_voice_en_17717647,Please Postman.,"Peace, Bosmer."
1,1.0,0,False,common_voice_en_17728543,What do you make of that?,What do you make of that?
1,1.0,0,False,common_voice_en_17728545,"It's raining heavily, take an umbrella.","Yes, reading here we can umbrella"
1,1.0,0,False,common_voice_en_17732764,They chose to build strong stone walls around the city.,They choose to build strong stone walls around the city.
1,1.0,0,False,common_voice_en_17758246,The irregular pattern comes from the pseudorandomness of the function.,the irregular pattern comes from the pseudo randomness of the function
1,1.0,0,False,common_voice_en_17763813,"No, of course not.","No, of course not."
1,1.0,0,False,common_voice_en_17763815,He stole the PIN to her bank account.,He stole the pen to her bank account.
1,1.0,0,False,common_voice_en_17875318,It was a good clock.,It was a good clock.
1,1.0,0,False,common_voice_en_17875322,Mister Robinson will be on time.,Mr. Robinson will be on time.
1,1.0,0,False,common_voice_en_17877327,Nothing else remains over for us. We have no alternative.,Nothing else remain over for us. We have no alternative.
1,1.0,0,False,common_voice_en_17878449,"Chickens lay so many eggs a week, it wouldn't be possible to breed them all.","Chickens lay so many eggs a week, it wouldn't be possible to breed them all."
1,1.0,0,False,common_voice_en_17880587,Sally was shrieking when she heard the horn of the cement-mixer behind her.,Sunny was drinking when she heard the horn of the cement mixer behind her.
1,1.0,0,False,common_voice_en_17880588,Anyone passing the bridge had to pay.,Anyone passing the bridge had to pay.
1,1.0,0,False,common_voice_en_17929383,You need more evidence than that.,You need more evidence than that.
1,1.0,0,False,common_voice_en_17947273,The bills were mailed promptly on the tenth of the month.,The bells were mailed promptly on the 10th of the month.
1,1.0,0,False,common_voice_en_18039405,I prefer to ride a taxi rather than train to go to the airport.,I prefer to ride a taxi rather than train to go to the airport.
